States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2020,1,"nicobars district",2911,12099543.773590054
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",16747,33486883.370425556
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,2,"north and middle andaman district",10979,22447714.061058953
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,1,"south andaman district",32713,134679396.90582755
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",4049,11481466.283356793
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2020,1,"nicobars district",2911,12099543.773590054
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2019,3,"south andaman district",27421,91023888.32848613
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2020,2,"north and middle andaman district",10979,22447714.061058953
"Andaman and Nicobar Islands",2020,2,"south andaman district",48088,132855778.74838585
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2019,3,"nicobars district",2300,11566421.475451011
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,2,"nicobars district",3895,14341508.60470232
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2020,2,"south andaman district",48088,132855778.74838585
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",4716,13524056.784573946
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2019,4,"south andaman district",27843,110930312.20611623
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",16747,33486883.370425556
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2019,4,"nicobars district",2600,12384161.52668771
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2020,2,"nicobars district",3895,14341508.60470232
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2020,1,"north and middle andaman district",5674,14697371.617857102
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",16747,33486883.370425556
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,1,"south andaman district",32713,134679396.90582755
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2020,1,"nicobars district",2911,12099543.773590054
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2020,2,"north and middle andaman district",10979,22447714.061058953
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2020,2,"south andaman district",48088,132855778.74838585
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2020,2,"nicobars district",3895,14341508.60470232
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",16747,33486883.370425556
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2020,3,"south andaman district",95323,282366109.20523936
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2020,3,"nicobars district",5413,22166453.754695386
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",29349,68941322.38839513
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2020,4,"south andaman district",186494,523122462.88302904
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2020,4,"nicobars district",8688,35218871.04342849
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",27358,75027255.27919498
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2021,1,"south andaman district",207092,669604045.1248703
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2021,1,"nicobars district",10302,39075266.9856904
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",39200,90233388.79463302
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2021,2,"south andaman district",286907,760893020.5704944
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2021,2,"nicobars district",15307,48020606.74716837
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",46592,118254865.82750683
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2021,3,"south andaman district",382418,1116789010.6459613
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2021,3,"nicobars district",20754,74980519.3281361
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",152187,392080332
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",53115,156486112.28732437
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2023,1,"south andaman district",2030078,3867385426
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",152187,392080332
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2021,4,"south andaman district",558571,1694794708.0093334
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2023,1,"nicobars district",94127,202062829
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",152187,392080332
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2021,4,"nicobars district",24437,81329281.0269996
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",181149,462414675
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2023,1,"south andaman district",2030078,3867385426
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2023,2,"south andaman district",2417058,4297737197
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",152187,392080332
"Andaman and Nicobar Islands",2023,1,"south andaman district",2030078,3867385426
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2023,1,"nicobars district",94127,202062829
"Andaman and Nicobar Islands",2023,2,"nicobars district",109568,230192364
"Andaman and Nicobar Islands",2023,1,"nicobars district",94127,202062829
"Andaman and Nicobar Islands",2022,1,"nicobars district",29177,94414127.64974089
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",60059,161624878.52274162
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",72573,195693167.78757268
"Andaman and Nicobar Islands",2022,2,"nicobars district",43769,132900618.93062323
"Andaman and Nicobar Islands",2022,4,"south andaman district",1835592,3600887266.099448
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",181149,462414675
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",181149,462414675
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",152187,392080332
"Andaman and Nicobar Islands",2023,2,"south andaman district",2417058,4297737197
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2023,1,"south andaman district",2030078,3867385426
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2022,4,"nicobars district",58646,142355853.97352526
"Andaman and Nicobar Islands",2023,1,"south andaman district",2030078,3867385426
"Andaman and Nicobar Islands",2022,1,"south andaman district",705512,1872991195.902684
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",79574,211581970.34202656
"Andaman and Nicobar Islands",2023,2,"south andaman district",2417058,4297737197
"Andaman and Nicobar Islands",2023,3,"north and middle andaman district",198547,495623030
"Andaman and Nicobar Islands",2022,3,"south andaman district",1455255,2967719400.849909
"Andaman and Nicobar Islands",2022,2,"south andaman district",954875,2357326563.362071
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",93297,241431284.3558103
"Andaman and Nicobar Islands",2023,3,"south andaman district",2771397,4462201588
"Andaman and Nicobar Islands",2022,3,"nicobars district",49550,131330400.94545083
"Andaman and Nicobar Islands",2023,2,"nicobars district",109568,230192364
