States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",28,45311
"Andhra Pradesh",2021,1,"krishna district",2722,1699716
"Andaman and Nicobar Islands",2020,3,"nicobars district",5,1448
"Andhra Pradesh",2023,1,"east godavari district",4069,5915626
"Andhra Pradesh",2022,2,"vizianagaram district",1145,1412957
"Andhra Pradesh",2020,3,"guntur district",4230,1083584
"Andaman and Nicobar Islands",2021,2,"south andaman district",105,121104
"Andhra Pradesh",2020,4,"east godavari district",1965,1355741
"Andhra Pradesh",2023,1,"srikakulam district",1100,1628429
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",81,182061
"Andhra Pradesh",2022,2,"visakhapatnam district",5851,7046107
"Andhra Pradesh",2021,2,"east godavari district",2343,1695121
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",81,182061
"Andaman and Nicobar Islands",2021,2,"nicobars district",4,15089
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",13,17734
"Andhra Pradesh",2022,1,"guntur district",2748,3988284
"Andaman and Nicobar Islands",2021,4,"south andaman district",632,800758
"Andhra Pradesh",2023,1,"spsr nellore district",2461,3621734
"Andhra Pradesh",2020,4,"srikakulam district",811,546440
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",33,50997
"Andhra Pradesh",2021,2,"srikakulam district",842,755796
"Andhra Pradesh",2020,3,"krishna district",4519,1093882
"Andaman and Nicobar Islands",2021,4,"nicobars district",44,73561
"Andhra Pradesh",2021,2,"spsr nellore district",1817,1245872
"Andhra Pradesh",2020,4,"east godavari district",1965,1355741
"Andaman and Nicobar Islands",2021,3,"south andaman district",182,223699
"Andhra Pradesh",2020,4,"spsr nellore district",1348,810758
"Andaman and Nicobar Islands",2020,4,"south andaman district",109,137494
"Andaman and Nicobar Islands",2022,4,"nicobars district",39,102155
"Andhra Pradesh",2020,4,"vizianagaram district",897,651040
"Andaman and Nicobar Islands",2020,4,"nicobars district",2,2747
"Andhra Pradesh",2022,1,"krishna district",3914,5279784
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",48,85229
"Andaman and Nicobar Islands",2021,4,"south andaman district",632,800758
"Andhra Pradesh",2021,4,"anantapur district",1322,2101400
"Andaman and Nicobar Islands",2022,1,"south andaman district",692,982206
"Andaman and Nicobar Islands",2021,4,"nicobars district",44,73561
"Andhra Pradesh",2023,1,"vizianagaram district",1104,1619607
"Andhra Pradesh",2021,2,"vizianagaram district",815,702006
"Andhra Pradesh",2022,2,"prakasam district",1962,2331922
"Andhra Pradesh",2022,2,"east godavari district",3103,3899091
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",85,178969
"Andaman and Nicobar Islands",2022,1,"nicobars district",28,63852
"Andaman and Nicobar Islands",2021,3,"nicobars district",15,30539
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",48,85229
"Andhra Pradesh",2021,2,"visakhapatnam district",4655,3497573
"Andhra Pradesh",2022,2,"anantapur district",1794,2729962
"Andhra Pradesh",2022,2,"srikakulam district",946,1282760
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",48,63978
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",45,90403
"Andhra Pradesh",2023,1,"visakhapatnam district",6752,9502319
"Andaman and Nicobar Islands",2022,1,"south andaman district",692,982206
"Andaman and Nicobar Islands",2023,1,"south andaman district",872,1172083
"Andhra Pradesh",2022,2,"ysr district",1418,1920103
"Andhra Pradesh",2022,2,"spsr nellore district",2063,2686947
"Andhra Pradesh",2020,4,"srikakulam district",811,546440
